id,name,category,address,postcode,city,country,website,source_url,notes,latitude,longitude,twitter,geocode_confidence
cand-ai-001,OpenAI,ai,50 Broadway,SW1H 0BL,London,UK,,https://openai.com/index/introducing-openai-london/,London office launched,51.4993,-0.1327,@OpenAI,high
cand-ai-002,ElevenLabs,ai,"Wardour Street, Soho",W1F 0UG,London,UK,,https://elevenlabs.io/blog/london-office-opening,London HQ and operations,51.5134,-0.1333,@elevenlabsio,high
cand-ai-003,PolyAI,ai,London,,London,UK,,https://poly.ai/contact/,London-founded conversational AI company,,,,low
cand-ai-004,Builder.ai,ai,London,,London,UK,,https://www.builder.ai/,London-founded AI app platform,,,,low
cand-ai-005,Robin AI,ai,London,,London,UK,,https://www.wired.com/story/the-hottest-startups-in-london-in-2024/,London legal AI startup (WIRED list),,,,low
cand-ai-006,PhysicsX,ai,London,,London,UK,,https://sifted.eu/rankings/ai-100-2025,London AI engineering startup (WIRED/Sifted),,,,low
cand-ai-007,Graphcore,ai,107 Cheapside,EC2V 6DN,London,UK,,https://www.graphcore.ai/,UK AI chip company with London presence,51.5148,-0.0937,@Graphcore,high
cand-ai-008,Darktrace,ai,"Maurice House, 1 Holborn Circus",EC1N 2HL,London,UK,,https://www.darktrace.com/,UK AI cybersecurity company (London HQ),51.5176,-0.1089,@Darktrace,high
cand-ai-009,Luminance,ai,London,,London,UK,,https://www.luminance.com/,London legal AI company,,,,low
cand-ai-010,Causaly,ai,London,,London,UK,,https://www.causaly.com/,AI scientific platform with London base,,,,low
cand-ai-011,Seldon,ai,London,,London,UK,,https://www.seldon.io/,London MLOps / AI deployment company,,,,low
cand-ai-012,Signal AI,ai,London,,London,UK,,https://www.signal-ai.com/,London AI media intelligence company,,,,low
cand-ai-013,Eigen Technologies,ai,London,,London,UK,,https://www.eigentech.com/,London NLP automation company,,,,low
cand-ai-014,Faculty,ai,London,,London,UK,,https://faculty.ai/,London AI consultancy/product company,,,,low
cand-ai-015,Harvey,ai,London,,London,UK,,https://www.londonandpartners.com/newsroom/news-and-communications/london-leading-global-city-for-ai-businesses-to-grow,AI legal startup expanding into London,,,,low
cand-ai-016,Mphasis AI Innovation Hub,ai,London,,London,UK,,https://www.londonandpartners.com/newsroom/news-and-communications/london-leading-global-city-for-ai-businesses-to-grow,London AI hub expansion cited by London & Partners,,,,low
cand-ai-017,Huma,ai,London,,London,UK,,https://www.huma.com/,London health AI / digital health scaleup,,,,low
cand-ai-018,Relation Therapeutics,ai,London,,London,UK,,https://www.londonandpartners.com/newsroom/news-and-communications/london-hits-all-time-high-for-venture-capital-investment-into-ai-in-2024,London health AI startup (L&P 2024 list),,,,low
cand-ai-019,Limbic,ai,London,,London,UK,,https://www.limbic.ai/,London mental-health AI company,,,,low
cand-ai-020,Baseimmune,ai,London,,London,UK,,https://www.baseimmune.com/,London biotech/AI company,,,,low
cand-ai-021,Fetch.ai,ai,London,,London,UK,,https://fetch.ai/,London-origin AI x web3 company,,,,low
cand-ai-022,Synthflow AI,ai,London,,London,UK,,https://www.synthflow.ai/,London conversational AI startup,,,,low
cand-web3-001,OKX,web3,London,,London,UK,,https://www.okx.com/,Global exchange with UK/London operations,,,,low
cand-web3-002,Crypto.com,web3,London,,London,UK,,https://crypto.com/,Global exchange with UK presence,,,,low
cand-web3-003,eToro,web3,London,,London,UK,,https://www.etoro.com/,London office and UK operations,,,,low
cand-web3-004,Bitpanda,web3,London,,London,UK,,https://www.bitpanda.com/,UK expansion and London presence,,,,low
cand-web3-005,Nexo,web3,London,,London,UK,,https://nexo.com/,UK-facing crypto platform with London activity,,,,low
cand-web3-006,Blockdaemon,web3,London,,London,UK,,https://blockdaemon.com/,Institutional web3 infra with London base,,,,low
cand-web3-007,Alchemy,web3,London,,London,UK,,https://www.alchemy.com/,Web3 infra company with London hiring/presence,,,,low
cand-web3-008,QuickNode,web3,London,,London,UK,,https://www.quicknode.com/,Web3 infra provider with London presence,,,,low
cand-web3-009,Chainlink Labs,web3,London,,London,UK,,https://chain.link/,Major web3 infra team with London footprint,,,,low
cand-web3-010,CertiK,web3,London,,London,UK,,https://www.certik.com/,Web3 security firm with London presence,,,,low
cand-web3-011,Argent,web3,London,,London,UK,,https://www.argent.xyz/,London crypto wallet startup,,,,low
cand-web3-012,Ramp Network,web3,London,,London,UK,,https://ramp.network/,London web3 payments infrastructure,,,,low
cand-web3-013,Sorare,web3,London,,London,UK,,https://sorare.com/,Has London office/presence in UK market,,,,low
cand-web3-014,Immutable,web3,London,,London,UK,,https://www.immutable.com/,Web3 gaming company with London team presence,,,,low
cand-web3-015,Dapper Labs,web3,London,,London,UK,,https://www.dapperlabs.com/,Web3/NFT company with London hiring footprint,,,,low
cand-web3-016,R3,web3,London,,London,UK,,https://www.r3.com/,Enterprise blockchain company with London HQ,,,,low
cand-web3-017,Coincover,web3,London,,London,UK,,https://www.coincover.com/,UK crypto custody protection company,,,,low
cand-web3-018,Ziglu,web3,London,,London,UK,,https://www.ziglu.io/,London crypto fintech,,,,low
cand-web3-019,Mercuryo,web3,London,,London,UK,,https://mercuryo.io/,Crypto payments with UK/London presence,,,,low
cand-web3-020,Transak,web3,London,,London,UK,,https://transak.com/,Web3 onboarding with UK presence,,,,low
cand-web3-021,Safe (Gnosis Safe),web3,London,,London,UK,,https://safe.global/,Core team presence in London ecosystem,,,,low
